RENGLON,AÑO,ENTIDAD,CVE_GEO,SEXO,EV
1,1950,República Mexicana,0,Hombres,44.89935075
2,1950,República Mexicana,0,Mujeres,47.70677143
3,1950,República Mexicana,0,Total,46.27022327
4,1951,República Mexicana,0,Hombres,44.44008069
5,1951,República Mexicana,0,Mujeres,47.01777562
6,1951,República Mexicana,0,Total,45.69981992
7,1952,República Mexicana,0,Hombres,46.69806071
8,1952,República Mexicana,0,Mujeres,49.48661207
9,1952,República Mexicana,0,Total,48.06411096
10,1953,República Mexicana,0,Hombres,46.37516652
11,1953,República Mexicana,0,Mujeres,49.11106844
12,1953,República Mexicana,0,Total,47.71448464
13,1954,República Mexicana,0,Hombres,50.01244702
14,1954,República Mexicana,0,Mujeres,52.93598024
15,1954,República Mexicana,0,Total,51.44608744
16,1955,República Mexicana,0,Hombres,50.93207298
17,1955,República Mexicana,0,Mujeres,53.58469892
18,1955,República Mexicana,0,Total,52.23291172
19,1956,República Mexicana,0,Hombres,51.89815644
20,1956,República Mexicana,0,Mujeres,54.82000043
21,1956,República Mexicana,0,Total,53.33376946
22,1957,República Mexicana,0,Hombres,52.51151898
23,1957,República Mexicana,0,Mujeres,55.22168464
24,1957,República Mexicana,0,Total,53.84378107
25,1958,República Mexicana,0,Hombres,53.43592152
26,1958,República Mexicana,0,Mujeres,56.23426904
27,1958,República Mexicana,0,Total,54.8123471
28,1959,República Mexicana,0,Hombres,54.24129497
29,1959,República Mexicana,0,Mujeres,57.07066178
30,1959,República Mexicana,0,Total,55.63420079
31,1960,República Mexicana,0,Hombres,54.72951112
32,1960,República Mexicana,0,Mujeres,57.48586195
33,1960,República Mexicana,0,Total,56.08565641
34,1961,República Mexicana,0,Hombres,55.87342873
35,1961,República Mexicana,0,Mujeres,58.63267782
36,1961,República Mexicana,0,Total,57.23191814
37,1962,República Mexicana,0,Hombres,56.23198373
38,1962,República Mexicana,0,Mujeres,58.91405377
39,1962,República Mexicana,0,Total,57.55501212
40,1963,República Mexicana,0,Hombres,56.60483087
